FDHI ID,Earthquake,Date,Magnitude,Cumulative displacement,Style,Hypocenter lat,Hypocenter lon,Feature,Breached or unbreached,Type (releasing or restraining),Type (single or double),Distance splay or double bend (m),Length (m) or angle (deg),Spacing double bend (m),Type (length or angle),Location along rupture,Total rupture length,Normalized location,Distance to epicenter,Distance to max slip,Slip at gate (m),Normalized slip at gate,x1check,y1check,UTM zone,latcheck,loncheck
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,0.750367829301659,0,angle,28929.97406575,31546.4857015686,0.917058538292635,3622.66788794625,2048.64055896275,NaN,NaN,576371.03413732,3673437.83368429,11N,33.1971092225554,-116.180646087106
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,25.1155520167463,0,angle,30519.9733439913,31546.4857015686,0.967460326095017,4942.39730856674,3631.48202176022,NaN,NaN,575440.585394521,3674723.89610976,11N,33.2087737633424,-116.190520879204
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,31.711648461242,0,angle,12199.9946880673,31546.4857015686,0.386730706027921,13360.9883468577,14435.6849944841,0.0285714285714286,0.0745455053719355,588711.82716805,3662534.61885727,11N,33.097832084595,-116.049322707535
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,23.6306102667349,0,angle,30479.9733575825,31546.4857015686,0.966192356445809,5569.55017720683,3898.83987128495,NaN,NaN,574550.743197715,3674160.45449604,11N,33.2037537112266,-116.200114314552
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,7.43906950312964,0,angle,24849.977771424,31546.4857015686,0.787725707595647,2296.5811806232,2004.30670915569,0.123,0.320918400626182,579075.031190946,3670418.80069782,11N,33.1696858549217,-116.151901113068
6,Borrego,'1968-04-09',6.63,NaN,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,10.377854861551,0,angle,28519.9742757009,31546.4857015686,0.904061851627511,3306.30279286952,1638.49925206813,0.12696,0.331250407670732,576627.155025641,3673116.54307397,11N,33.1941933317504,-116.177925592311
36,ChalfantValley,'1986-07-21',6.19,20,Strike-Slip,37.5383,-118.443,bend,breached,releasing,double,1492.17232260312,25.3276761750863,638.343145326866,angle,14059.9636134664,14207.5427349576,0.989612621672567,18218.0141011654,9455.11696179193,0.005,0.105263157894737,383632.943182087,4141136.70671103,11N,37.4097192137747,-118.314905217071
21,Darfield,'2010-09-03',7,NaN,Strike-Slip,-43.615,172.049,bend,breached,restraining,double,1144.35386090614,18.4028822802832,361.268817650274,angle,3519.99689768402,28896.3939931895,0.121814400042913,2848.97597480333,14608.250027765,1.07798575,0.15622981884058,586017.790910689,5172848.59171,59S,-43.592369363663,172.065615667528
21,Darfield,'2010-09-03',7,NaN,Strike-Slip,-43.615,172.049,bend,breached,NaN,single,0,32.0656221502137,0,angle,0,28896.3939931895,0,4778.52990741636,17637.8462596395,1.41598,0.205214492753623,583103.11072952,5174875.27769717,59S,-43.5744545321431,172.029202615525
21,Darfield,'2010-09-03',7,NaN,Strike-Slip,-43.615,172.049,bend,breached,NaN,single,0,2.9889963323025,0,angle,10749.990802074,28896.3939931895,0.372018418789821,8808.29637292773,7466.74302859651,3.0010154375,0.434929773550725,593164.396637607,5172588.9449894,59S,-43.5938473536879,172.154177748767
21,Darfield,'2010-09-03',7,NaN,Strike-Slip,-43.615,172.049,bend,breached,NaN,single,0,17.3602400150382,0,angle,13469.9907405651,28896.3939931895,0.466147808745264,11422.0518659879,4770.50561617619,4.3285053375,0.627319614130435,595874.560301733,5172439.35992952,59S,-43.5948500855937,172.187772403844
21,Darfield,'2010-09-03',7,NaN,Strike-Slip,-43.615,172.049,bend,breached,releasing,double,978.685712050173,14.2601460874653,241.074682788782,angle,15959.9903665382,28896.3939931895,0.552317717231421,13883.7791386336,2293.8688184865,4.44049915,0.643550601449275,598362.801548119,5172491.42500961,59S,-43.5940569909105,172.218582531128
